link,address,price,beds,bath,date_added,available_date,deposit,furnish_type,property_type,station_1,station_1_dist,station_2,station_2_dist,station_3,station_3_dist
https://www.rightmove.co.uk/properties/149438306#/?channel=RES_LET,"PLATFORM_, Anderston Quay, Glasgow","£1,179 pcm",,1,21/06/2024,29/06/2024,Ask agent,Unfurnished,Studio,Anderston Station,0.2 miles,Bridge Street Station,0.5 miles,West Street Station,0.5 miles
https://www.rightmove.co.uk/properties/149476523#/?channel=RES_LET,"Blantyre Street, Glasgow, G3",£925 pcm,1,1,yesterday,18/07/2024,"£1,000",Furnished,Flat,Kelvinhall Station,0.3 miles,Hillhead Station,0.5 miles,Exhibition Centre Station,0.6 miles
https://www.rightmove.co.uk/properties/149476520#/?channel=RES_LET,"Napiershall Street, Glasgow, G20",£925 pcm,2,1,yesterday,Now,£925,Unfurnished,Flat,Kelvinbridge Station,0.3 miles,St. George's Cross Station,0.3 miles,Charing Cross (Glasgow) Station,0.6 miles
https://www.rightmove.co.uk/properties/149474921#/?channel=RES_LET,"Innellan Gardens, Glasgow, Glasgow City, G20",£995 pcm,2,1,yesterday,01/07/2024,"£1,492",Furnished,Flat,Kelvindale Station,0.1 miles,Maryhill Station,0.4 miles,Summerston Station,0.6 miles
https://www.rightmove.co.uk/properties/149474735#/?channel=RES_LET,"Apsley Street, Partick, Glasgow, G11",£910 pcm,1,1,yesterday,09/07/2024,£300,Furnished,Flat,Partick Station,0.2 miles,Partick Station,0.2 miles,Hyndland Station,0.5 miles
https://www.rightmove.co.uk/properties/149474660#/?channel=RES_LET,"Ingram Street, Glasgow, G1",£900 pcm,1,1,yesterday,29/06/2024,"£1,350",Furnished,Flat,High Street (Glasgow) Station,0.2 miles,Argyle Street Station,0.3 miles,Glasgow Queen Street Station,0.3 miles
https://www.rightmove.co.uk/properties/149474489#/?channel=RES_LET,"West Graham Street, Garnethill, GLASGOW, G4",£955 pcm,2,1,yesterday,06/07/2024,£300,"Furnished or unfurnished, landlord is flexible",Flat,Cowcaddens Station,0.1 miles,St. George's Cross Station,0.3 miles,Buchanan Street Station,0.4 miles
https://www.rightmove.co.uk/properties/149473601#/?channel=RES_LET,"Silverbanks Road, Cambuslang, Glasgow","£1,050 pcm",3,2,yesterday,28/06/2024,"£1,050",Unfurnished,Apartment,Cambuslang Station,0.4 miles,Kirkhill Station,0.8 miles,Burnside Station,0.9 miles
https://www.rightmove.co.uk/properties/149473598#/?channel=RES_LET,"Thorndyke, Calderwood, East Kilbride",£675 pcm,2,1,yesterday,28/06/2024,£675,Unfurnished,Apartment,East Kilbride Station,1.5 miles,Kirkhill Station,2.5 miles,Newton Station,2.7 miles
https://www.rightmove.co.uk/properties/20667027#/?channel=RES_LET,"Strathclyde Gardens,Cambuslang,Glasgow,G72",£775 pcm,2,,yesterday,Ask agent,£879,Unfurnished,Flat,Newton Station,0.6 miles,Kirkhill Station,1.4 miles,Cambuslang Station,1.7 miles
https://www.rightmove.co.uk/properties/148222076#/?channel=RES_LET,ST GEORGES CROSS- Hopehill Road - Furnished,"£1,250 pcm",2,1,yesterday,24/06/2024,"£1,350",Unfurnished,Apartment,St. George's Cross Station,0.3 miles,Kelvinbridge Station,0.5 miles,Cowcaddens Station,0.6 miles
https://www.rightmove.co.uk/properties/149469128#/?channel=RES_LET,"Holland Street, Glasgow, G2","£1,575 pcm",1,1,yesterday,30/06/2024,Ask agent,Furnished,Apartment,Charing Cross (Glasgow) Station,0.3 miles,Anderston Station,0.4 miles,Cowcaddens Station,0.4 miles
https://www.rightmove.co.uk/properties/149461973#/?channel=RES_LET,"Minerva Square, Glasgow, G3","£1,645 pcm",2,2,21/06/2024,Ask agent,Ask agent,Furnished,Apartment,Exhibition Centre Station,0.0 miles,Anderston Station,0.5 miles,Charing Cross (Glasgow) Station,0.5 miles
https://www.rightmove.co.uk/properties/149461982#/?channel=RES_LET,"Minerva Square, Glasgow, G3","£1,555 pcm",2,2,21/06/2024,Ask agent,Ask agent,Furnished,Apartment,Exhibition Centre Station,0.0 miles,Anderston Station,0.5 miles,Charing Cross (Glasgow) Station,0.5 miles
https://www.rightmove.co.uk/properties/149461988#/?channel=RES_LET,"Minerva Square, Glasgow, G3","£1,445 pcm",2,1,21/06/2024,Ask agent,Ask agent,Furnished,Apartment,Exhibition Centre Station,0.0 miles,Anderston Station,0.5 miles,Charing Cross (Glasgow) Station,0.5 miles
https://www.rightmove.co.uk/properties/149461145#/?channel=RES_LET,"Denmilne Street, Glasgow, G34",£980 pcm,2,1,21/06/2024,08/07/2024,£980,Unfurnished,Flat,Easterhouse Station,0.3 miles,Garrowhill Station,1.1 miles,Baillieston Station,1.3 miles
https://www.rightmove.co.uk/properties/149461118#/?channel=RES_LET,"St. Georges Road, Glasgow, G3",£995 pcm,1,1,21/06/2024,30/06/2024,£995,Furnished,Flat,St. George's Cross Station,0.1 miles,Cowcaddens Station,0.4 miles,Charing Cross (Glasgow) Station,0.5 miles
https://www.rightmove.co.uk/properties/149461070#/?channel=RES_LET,"Whitehurst, Bearsden, Glasgow, G61",£750 pcm,2,1,21/06/2024,02/07/2024,"£1,000",Unfurnished,Flat,Bearsden Station,0.8 miles,Hillfoot Station,1.1 miles,Westerton Station,1.4 miles
https://www.rightmove.co.uk/properties/149461001#/?channel=RES_LET,"Burnhill Quadrant, Rutherglen, Glasgow, G73",£650 pcm,1,1,21/06/2024,13/07/2024,£650,Furnished,Flat,Rutherglen Station,0.4 miles,Croftfoot Station,0.7 miles,Dalmarnock Station,1.0 miles
